EquType,Words
电梯,许 江苏省 南京市 地铁 四号线 灵 山镇 二号 口 垂直 电梯 突发 故障 停止 运行 人员 被困 二十多分钟 后维保 人员 到达 现场 成功 被困 人员 救出
电梯,浙江省 嘉兴市 荣盛 百合 花园 小区 电梯 发生 故障 导致 多人 被困 电梯
压力容器,江西省 九江 庐山 市 南康 镇金枫 花园 小区 栋 中间 车库 煤气罐 发生 泄漏 爆炸 导致 车库 东面 墙体 部分 坍塌 砸 身亡 人受 轻伤
电梯,日点 分 江苏省 南京市 仙林 文范路 号 康桥 圣菲 栋 单元 电梯 外卖 员 被困 半个 小时 电梯 救援 电话 无人 接听 民警 到场 联系 电梯 维保 人员 成功 被困 人员 救出
电梯,江苏省 苏州市 中心 办公大楼 座 电梯 突然 下坠 至楼 人员 被困 目前 被困 人员 安全 救出
锅炉,上海市 宝山区 纬 一路 四 高炉 发生 火灾 初步 了解 厂 区内 高炉 热风 管道 机器 损坏 内部 高温 气体 喷出 火势 扑灭 造成 人员伤亡
压力容器,安徽省 黄山市 黄山区 甘棠 镇 龙井 世纪 家苑 小区 居民 楼下 仓库 发生爆炸 初步 查验 系 液化气罐 发生爆炸 爆炸 导致 受伤
压力容器,江苏省 扬州市 江都 区乐 嘉园 车库 发生 火灾 勘查 发现 起火 车库里 煤气罐 发生 爆燃 分钟 扑救 火势 得到 控制 造成 人员伤亡
压力容器,河北省 保定市 满 城区 方顺桥 镇 保定 博洋 生物科技 有限公司 员工 反应釜 加入 乙醇溶液 通入 蒸汽 加热 溶解 釜 凝固 物 下班 时 蒸汽 关小 继续 供热 加温 导致 凌晨时分 发生 爆燃 事故 事故 造成 直接 经济损失 约 万元 未 造成 人员伤亡
压力容器,凌晨 安徽省 合肥市 中环 购物广场 中心 翡翠 路口 疑似 油罐车 发生爆炸 事故 具体 事故 原因 人员伤亡 情况 未知
电梯,安徽省 安庆市 小区 夫妇 乘坐 电梯 时 偶遇 故障 被困 电梯 消防员 到场 确认 被困 楼层 电梯 钥匙 打开 电梯 闸门 成功 被困 人员 救出
电梯,陕西省 西安市 雁塔区 国宾 中央区 工地 电梯 发生 困 被困 时间 长达个 小时
起重机械,四川省 内江市 威远县 龙会镇 郭林村 发生 吊车 侧翻 事故 周围 民房 砸坏 具体 人员伤亡 情况 未知
电梯,新浪 微博 吉林省 长春市 蓝色 港湾 小区 连续 两天 停电 导致 无数 业主 被困 电梯
压力容器,陕西省 安康市 平利县 洛河 镇安 坝村 居民 家中 液化气罐 引燃 民警 二十多分钟 扑救 大火 及时 扑灭 未 造成 人员伤亡 财产损失
压力容器,中午 福建省 漳州市 东山县 东山岛 大沃 渔港 一艘 渔船 突发 大火 初步 调查 船员 做 午饭 时因 气罐 使用不当 导致 渔船 失火 目前 火势 扑灭 未 造成 人员伤亡
电梯,许 安徽省 蚌埠市 禹会区 喜迎 门 三期 号楼 出现 电梯 困 事件 维保 救援队 救援 成功 被困 人员 救出
起重机械,安徽省 六安市 霍邱县 花园 镇 十字街 一辆 吊车 发生 侧翻 砸 中 路口 一间 民房 未 造成 人员伤亡
压力容器,日点 分 吉林省 长春市 宽城区 利国 街 一匡街 交汇处 雨润 树华庭 小区 栋 门市 三六九 铁锅 炖菜 馆 发生 爆炸 事故 导致 事故 中受 轻伤 爆炸 事故 疑似 液化气罐 泄露 引发 导致 周围 多辆 车 受损 饭店 楼层 附近 多家 窗户 震碎
电梯,江西省 鹰潭 贵溪市 流口 镇 一品 滨江 小区 栋 单元 电梯 突发 故障 导致 小孩 被困 消防员 成功 电梯门 打开 救出 被困 人员
压力容器,江苏省 南京市 栖霞区 栖霞 街道 甘家巷 铁道口 处 一辆 轿车 后备箱 液化气 钢瓶 发生 物理 爆炸 燃烧 消防人员 约 十分钟 成功 处置 险情 造成 人员伤亡
电梯,近日 四川省 乐山市 城区 小区 电梯 故障 导致 一人 被困 消防员 物业 努力 成功 被困 人员 救出
压力容器,上海市 崇明 区 胜利 弄 出租房 发生 液化气 爆燃 事故 导致 租客 不幸身亡 出租房 房顶 部分 墙体 已经 坍塌
电梯,台湾 台中市 大信 街 许姓 大楼 管理员 从楼 搭乘 电梯 疑因 电梯 突然 故障 造成 电梯 从楼 滑落 到楼 至楼 中间 管理员 打开 电梯门 意图 自行 脱困 不慎 坠落 地下 二楼 电梯 井底 最终 坠落 死亡
压力容器,湖南省 衡阳 常宁市 盐湖 镇 街上 住户 煤气罐 年久 未 更换 发生 漏气 产生 爆炸 人员 大碍 轻微 受伤
压力容器,日点 江苏省 扬州市 江都 区 大桥 中心 大桥 老街 居民 家中 液化气罐 着火 民警 到场 使用 灭火器 明火 扑灭 液化气罐 搬至 安全 地带 事故 未 造成 人员伤亡 具体 事故 原因 未知
压力容器,广东省 河源市 和平县 教师 新村 居民 房 六楼 厨房 煤气 发生 着火 未 造成 人员伤亡 具体 事故 原因 未知
电梯,山西省 临汾市 西华 名邸 小区 电梯 内有 人员 被困 电梯 急救 电话 按钮 摆设 接听 反映 被困 三次 反应 未 解决
压力容器,河北省 唐山市 路北区 和顺 园号 楼一 居民 家中 发生 煤气罐 爆炸 具体 事故 原因 未知 未 造成 人员伤亡
电梯,日点 分 滨州市 滨城区 高杜望 湖 花园 业主 被困 电梯 内此 电梯 维修 公司 物业 联系方式 电梯 维修 人员 达到 场 确认 无法 打开 电梯门 随即 电梯 机房 查看 被困 人员 要求 下才 先行 被困 人员 救出 历时 五十分钟
电梯,日点 分 浙江省 台州市 椒江区 中山东路 大楼 用户 被困 电梯 救援 人员 到场 确认 切断 电梯 电源 手动 盘车 轿厢 慢慢 移动 接近 电梯 厅口 位置 成功 被困 人员 救出
锅炉,黑龙江省 齐齐哈尔市 龙沙区 加油站 附近 海洋 之星 休闲 健身 服务 有限公司 温泉 泵房 锅炉 发生爆炸 现场 地面 公共设施 受损 事故 发生 相关 部门 立即 展开 处置 救援 具体 事故 原因 人员伤亡 情况 未知
压力容器,浙江省 金华 兰溪市 马涧 镇 西庄村 居民 家中 煤气罐 发生 泄漏 引发 大火 多名 干部群众 合力 扑救 下时许 火势 扑灭 未 造成 人员伤亡
电梯,近日 湖北省 武汉市 武汉 钢铁 集团公司 职工 医院 一部 电梯 发生 困 事件 维保 人员 赶到 现场 半小时 之内 成功 被困 群众 救出
压力容器,内蒙古 呼和浩特 疫情 防控 点 发现 一辆 运输 天然气 罐车 燃气 发生 泄漏 罐体 上方 出 两米 高 气体 应急 部门 小时 处置 成功 排除 险情 未 造成 人员伤亡
压力容器,湖南省 永州市 零 陵区 泉南 高速 衡枣 段 黄田铺 收费站 附近 以西 处 西往东 一辆 油罐车 发生 侧翻 泄漏 事故 具体 原因 人员伤亡 情况 未知
压力容器,广东省 茂名市 润东 石油化工 有限公司 油罐 区 储罐 发生 着火 侦查 火罐 容量 立方米 浮顶 罐 消防员 奋战 四十多分钟 大火 扑灭 事故 具体 原因 人员伤亡 情况 未知
电梯,反映 天津市 津南区 华远 波士顿 东苑 小区 电梯 发生 故障 报警 按钮 无人 应答
压力容器,新疆维吾尔自治区 哈密市 哑口 停车 区 路段 油罐车 发生 着火 事故 具体 事故 原因 人员伤亡 情况 未知
压力管道,陕西省 榆林市 靖边县 小河 乡 沙沟村 乔家 洼村 小组 长庆 采气 一厂 作业区 输气 支线 管道 破裂 发生 天然气 泄漏 经查 泄漏 点 位于 国道 旁边 余米 处时许 全体人员 同心协力 密切协作 成功 排除 险情 造成 人员伤亡
压力容器,山西省 吕梁市 旧 国道 村 路段 检查站 一辆 重型 半挂 牵引车 会车 时 采取 紧急制动 进行 减速时 地面 积冰 导致 方向 失控 撞 路边 墙上 致使 车辆 气罐 发生 泄漏 消防队 两个 小时 救援 泄露 气体 处理完毕 未 造成 人员伤亡
锅炉,五点 半左右 吉林省 吉林市 永吉县 口前 镇美乐 食品厂 锅炉 爆炸 发生 引起 火灾 目前 火势 已经 扑灭 造成 人员伤亡 具体 事故 原因 未知
压力容器,浙江省 温州 龙港 市湖 前 片区 李庄 站 村 号 间 三层楼 发生 煤气罐 爆炸 引发 民房 坍塌 事件 现场 被困 人员 搜救 凌晨 时 救出 危重 现场 搜救 发现 具 尸体
电梯,上海市 黄浦区 老 西门 新苑 小区 号楼 电梯 发生 困 物业 值班人员 随即 联系 外 包 单位 值班人员 告知 外派 小区 被困 人员 只能 等待 电梯 维修工 赶到 进行 救援
压力容器,福建省 莆田市 步行街 深夜 失火 现场 煤气罐 发生爆炸 消防人员 赶赴现场 进行 灭火 事故 原因 人员伤亡 情况 未知
压力容器,早上 陕西省 渭南市 蒲城县 孙 镇民 乐园 小区 住户 煤气 泄漏 发生 火灾 民警 迅速 赶到 现场 处置 及时 火 扑灭 并未 造成 人员伤亡
电梯,河北省 石家庄市 裕华区 藏龙 福地 小区 号楼 单元 电梯 爆料 电梯 安全 问题 电梯 安检 标签 更换 目前为止 电梯 存在 异响 晃动 隐患 解决 问题
压力容器,湖北省 襄阳 枣阳市 七方镇 闫坡村 四组 居民 家中 厨房 起火 煤气罐 点燃 民警 半小时 救援 火势 彻底 扑灭 现场 人员 受伤 具体 事故 原因 未知
电梯,四川省 巴中市 巴州区 清江 镇 通州 路 世纪 名苑 小区 电梯 突发 故障 停止 运行 被困 二楼 至三楼 之间 尝试 电梯 警报 铃均 反应 消防员 到场 利用 手动 破 拆 工具 电梯门 进行 撑 顶 分钟 电梯门 打开 被困 人员 顺利 救出
压力容器,湖北省 黄冈市 团风县 淋 山河 镇 卫生院 旁一 小区 楼一 居民 家中 煤气罐 阀门 老化 引起 煤气罐 起火 民警 到场 成功 控制 火情 未 造成 人员伤亡
电梯,江西省 南昌市 东湖区 赣桥 南路 号 朱家 福 社区 电梯 故障 导致 一人 被困 电梯 消防员 利用 撬棍 破门 成功 被困 人员 救出
电梯,早上 广东省 深圳市 潜龙 鑫茂 花园 电梯 楼下 行至 楼时 突然 停住 居民 被困 电梯 事后 被困 居民 安全 救出
压力容器,百度 贴 辽宁省 抚顺市 望花区 五老屯 居民 家中 发生 煤气罐 爆炸 具体 事故 原因 人员伤亡 情况 未知
压力容器,广东省 佛山市 南海区 西樵 镇 酒楼 发生 火警 现场 浓烟滚滚 伴有 疑似 石油 气瓶 爆炸 声响 具体 事故 原因 正在 调查 中
电梯,上海市 金山区 某小 区内 业主 电梯 回家 时 被困 民警 消防 部门 赶到 成功 排除 险情 被困 人员 安全 救出
电梯,西藏 日喀则市 酒店 突然 停电 有人 被困 电梯
电梯,新疆 乌鲁木齐市 兴雅轩 停电 导致 人员 被困 电梯
电梯,湖北省 恩施市 九尊 上苑 小区 电梯 突发 跳闸 事故 栋栋 电梯 停运 导致 被困 电梯 消防员 到场 分钟 紧张 救援 被困 人员 成功 救出
压力容器,百度 贴 山西省 阳泉市 郊区 义井 新村 号楼 住户 煤气 泄漏 发生爆炸 门窗 被炸飞 老人 受伤 送往 医院
压力容器,日点 半左右 广西 河池市 白马 县至 古文 乡 下和村 卡强 屯 路边 杂货铺 发生 火灾 迅猛 火焰 伴有 煤气罐 爆炸 声音 造成 人员伤亡 具体 事故 原因 未知
电梯,新浪 微博 近日 福建省 泉州市 丰泽区 城东 街道 东星 社区 毓 花苑 号 楼 电梯 经常出现 故障 维修 从根本上 解决问题 造成 业主 被困 电梯
压力容器,四川省 巴中市 南江县 两镇观 沟省 道 满载 顿 汽油 油罐车 连续 下坡 刹车 失灵 发生 侧翻 导致 罐顶 阀门 处 轻微 渗漏 消防员 到场 泄漏 罐车 实施 倒灌 处理 小时 事故 处理完毕 现场 无一人 伤亡
压力容器,河北省 秦皇岛市 抚宁县 一在 建工 地板 房 起火 着火 板房 库房 位置 液化气罐 泄露 燃烧 消防员 水枪 掩护 闯进 库房 液化气罐 拎 出 排除 险情 事故 未 造成 人员伤亡
电梯,日点 上海市 嘉定区 江桥 镇 华江 支路 小区 电梯 运行 楼 突然 停住 女子 被困 电梯 消防员 到场 利用 电动 剪 扩器 电梯门 扩开 成功 女子 救出
电梯,浙江省 杭州市 广宇 锦绣 桃源 号楼 电梯 发生 失控 故障 电梯 按钮 显示 抖动 厉害 业主 反映 电梯 近期 经常出现 此种 现象
压力容器,新浪 微博 辽宁省 鞍山 海城市 西柳 丽都 小区 液化气罐 发生爆炸 具体 事故 原因 人员伤亡 情况 未知
电梯,江苏省 常州 溧阳市 平陵 广场 老人 孙女 小心 摔倒 扶梯 女童 小手 卡进 扶梯 缝隙 里 幸好 群众 及时 按下 扶梯 停止 按钮 女童 中指 刺穿 女童 送往 医院 进行 治疗
电梯,江苏省 淮安市 居民楼 电梯 发生 故障 夫妻 被困 楼 消防员 到场 爬 楼 救出 被困 人员
电梯,台湾 台北市 大同区 年货 大街 附近 永乐 商场 妇人 搬 货时 货梯 缆绳 发生 断裂 妇人 电梯 夹住 妇人 救出 后过 抢救 恢复 呼吸 心跳
电梯,日点 陕西省 咸阳 兴平市 十八 街一 电梯 故障 停 三楼 业主 推 电动车 准备 电梯 时 不慎 掉入 电梯 井中 压 电动车 无法 动弹 消防员 救援 成功 女子 救出 受伤 女子 送往 医院 救治
压力容器,辽宁省 大连市 恒瑞 坦城 小区 楼一 居民 家中 疑似 煤气罐 发生爆炸 着火 事故 具体 原因 人员伤亡 情况 未知
电梯,河北省 保定 定州市 明月 新城 小区 号楼 单元 电梯 运行 过程 中 突然 下降 下降 两层 停住 有三人 被困 电梯 没过多久 电梯门 自动 打开 电梯 人员 安全 走出 电梯 小区业主 反映 小区 电梯 经常出现 故障 物业 未 业主 同意 私自 安装 梯控
电梯,日点 上海市浦东新区 佛罗伦萨 小镇 购物中心 电梯 突发 故障 一家人 被困 长 达 半个 小时 求救 铃 保安 室 回应 拨打 联系 物业 电梯 维保 公司
电梯,陕西省 汉中市 河坎华燕 生活区 号楼 岁 女孩 乘坐 电梯 时 被困 消防 赶来 发现 女孩 被困 电梯 未 安装 监控 查找 发现 小女孩 被困 楼 楼 之间 顺利 救出
压力容器,反映 近日 江西省 宜春市 袁州区 化成 街道 桔园 新村 小区 栋 居民 柴棚 间 煤气 发生 泄漏 调查 该户 业主 负责 运送 煤气罐 接到 泄漏 消息 赶到 家中 煤气罐 气阀 关闭 未 造成 更大 隐患 民警 责令 当晚 立即 煤气罐 运输 安全 地点
电梯,湖南省 武汉市 硚口区 长丰 大道 城市 便捷 酒店 电梯 快速 开门 闭合 瞬间 从三楼 坠落 一楼 多名 乘客 被困 乘客 左腿 半月板 韧带 受伤 严重 电梯 酒店 工作人员 打开 受伤 乘客 送往 医院
电梯,河南省 洛阳市 龙门 高铁 站 扶梯 女子 连带 行李 摔倒 下去 头发 夹 电梯 电梯 运行 中 一路 见状 电梯 制动 停止 民警 顺利 女子 救 胳膊 造成 一点 擦伤
电梯,晚 湖南省 长沙市 雨花区 中建 信和城 小区 栋 电梯 突发 故障 导致 被困 电梯 维保 人员 到场 强行 电梯门 打开 救出 被困 人员 小区业主 反映 电梯 发生 故障 困 下坠 故障 频发
电梯,河南省 平顶山市 叶县 小区 电梯 突然 出现 故障 一人 被困 消防员 到场 确定 人员 位置 撬杠 被困 人员 安全 救出
电梯,贵州省 黔东南苗族侗族自治州 凯里市 博南 新区 青青 家园 小区 号楼 小女孩 保姆 被困 电梯 两次 小区业主 反映 此楼栋 两部 电梯 一部 已经 坏 两个 一部 电梯 故障 频发 经常出现 困 现象
压力容器,海南省 万宁市 东线 高速 海口 三亚 方向 山根 高速 路口 一辆 载有 液氧 吨 罐车 侧翻 泄漏 时 消防 指战员 到达 现场 侦查 发现 液氧 罐车 泄漏 点 位于 罐体 尾部 目前 正在 处置 人员伤亡 情况 未知
压力容器,辽宁省 大连市 中 山区 北斗 街号 山东 老面 馒头 铺 发生 液化气 闪爆 公安 应急 安监 消防 部门 赶赴现场 进行 处置 现场 过火 未 造成 人员伤亡 具体 事故 原因 未知
压力容器,江西省 赣州市 南康 区 东山 街道 居民 做饭 时刚 点火 突然 窜出 火苗 疑因 煤气 发生 泄漏 遇 明火 引发 爆燃 未 造成 人员伤亡
压力容器,零 河南省 信阳市 潢川县 四环路 小潢 河大桥 一辆 压缩 天然气 槽罐车 起火 零 车辆 发动机 燃料 储气罐 发生 两次 爆炸 侦查 槽罐车 起火 部位 驾驶室 发动机舱 驾驶室 后个 车用 燃料 天然气 瓶 组有 两个 罐体 破损 燃烧 槽车 明火 扑灭 事故 车辆 拖回 母站 进行 天然气 回收 处置 事故 未 造成 人员伤亡
压力容器,山西省 朔州市 右玉县 国道 一辆 吨 满罐 液态 天然气 槽罐车 追尾 尾部 液位计 细管 发生 泄漏 堵漏 实施 完毕 未 造成 人员伤亡
电梯,江苏省 盐城市 响水县 开发 路 湖富邦 小区 电梯 从楼 突然 坠落 至楼 人员 被困 反映 小区 发生 困 事件 第一次
电梯,四川省 遂宁市 远成 中心 小区 单元 发生 电梯 故障 多人 被困 楼 楼 中间 电梯 内长 达 小时 消防员 到场 迅速 使用 工具 电梯门 撬开 缝隙 成功 被困 人员 救出
压力容器,四川省 巴中市 通江县 梨树 街号 居民 住宅楼 楼梯间 杂物 房 发生 火灾 煤气 泄漏 迹象 消防员 到场 徒手 拎 出 正在 燃烧 煤气罐 进行 降温 扑灭 处理 事故 未 造成 人员伤亡
电梯,湖南省 长沙 浏阳市 集里 街道 一品 天下 小区 栋 电梯 突然 起火 业委会 负责人 赶到 发现 打开 消防栓 准备 救火 时 发现 消防栓 根本 水 多数 居民 扑救 很快 火 扑灭 浏阳市 市场 监督 管理局 特种设备 科 相关 负责人 表示 一品 天下 小区 电梯 因未 要求 进行 整改 未 年检
压力容器,安徽省 宿州市 埇 桥区 夹 沟镇 后场 村一 村民 做饭 时 煤气罐 发生 着火 引燃 厨房 消防员 半个 小时 努力 现场 火势 完全 控制 住 造成 人员伤亡
电梯,陕西省 安康市 汉滨区 小区 电梯 发生 故障 女子 被困 小区 物业 维修 人员 及时 到场 进行 施救 施救 过程 中 被困 女子 丈夫 认为 救援 速度慢 酒后 滋事 肆意 工作人员 进行 辱骂 之后 拨打 报警 电话 对接 警员 进行 辱骂 挑衅 恶意 占用 警用 资源 处以 行政拘留 十日 处罚
电梯,广西 河池市 小区 电梯 上升 楼时 突然 发生 故障 多人 被困 电梯 按铃 呼救 迟迟 未见 维修 人员 前来 分钟 之后 消防员 救出 被困 人员
电梯,日点 分 湖南省 娄底 涟源市 枫林 国际 小区 栋 单元 停电 发生 电梯 困 事件 男子 被困 楼 电梯 消防员 到场 利用 电梯 多功能 钥匙 电梯门 打开 成功 救出 被困 人员
电梯,广东省 肇庆市 鼎湖区 桂城 街道办 食神 有名 食客 被困 一楼 电梯 消防员 到场 最终 使用 液压 扩张器 成功 打开 电梯门 救出 被困 群众
电梯,淄博市 临淄区 雪宫南 生活区 供电 线路 短路 造成 停电 导致 区内 名 居民 被困 电梯 最终 民警 居委会 物业 电梯 维修 人员 联合 成功 被困 居民 救出
电梯,河北省 廊坊市 万达 广场 座 电梯 发生 坠落 事故 人员伤亡 情况 暂 明确 目前 电梯 恢复正常 运行
压力容器,新浪 微博 青海省 西宁市 公交车 坠入 塌方 区域 发生爆炸 疑似 公交车 液化气罐 引起 爆炸 具体 事故 原因 人员伤亡 情况 未知
电梯,江西省 南昌市 东湖区 紫金 城栋 单元 有名 人员 被困 楼 电梯 消防员 配合 维保 人员 轿厢 门 开启 成功 被困 人员 救出
电梯,爆料 河南省 安阳市 阳光 国际 城 二期 号 电梯 频繁 停电 导致 电梯 人员 被困 四天 之内 停 两次 电且 人员 被困 电梯
压力容器,广东省 河源市 龙川县 铁场 镇 谷前 庙子 岭 民居 厨房 煤气罐 泄漏 引发 火灾 消防员 立即 用水 枪 进行 灭火 分钟 明火 扑灭 造成 人员伤亡
电梯,黑龙江省 牡丹江市 阳明区 裕华 园 小区 业主 乘坐 电梯 时 突然 发生 故障 电梯门 变形 无法 打开 电梯 发出 刺耳 声响 伴有 烟雾 出 半个 小时 救援 被困 业主 成功 脱困 物业 经理 回复 到经 初步判断 电梯 故障 人为 损坏 电梯门 引起
电梯,新浪 微博 江苏省 南京市 玄武区 艾尚 天地 座人 被困 电梯 分钟 无人 解决 民警 被困 人员 安全 救出
锅炉,日点 分 福建省 莆田市 荔城区 新度 镇 红山 水库 附近 工厂 锅炉 疑因 操作 不当 发生爆炸 介绍 该起 事故 已致 死亡 无人 受伤 具体 事故 原因 未知
起重机械,日点 浙江省 杭州市 滨江区 启智 路 西向东 方向 一辆 起重 吊车 操作失误 导致 侧翻 整个 重臂 倒 旁边 在建 楼盘 工地 未 造成 人员伤亡
压力容器,江苏省 常州市 小区 住户 做饭 时 煤气罐 发生爆炸 人员 受伤 事故 具体 原因 正在 调查 中
起重机械,日点 临沂市 费县 东蒙镇 东蒙 花园 项目 塔吊 安装 过程 中 工人 师傅 小心 掉下来 人员 受伤 目前 已送 医院 治疗 具体 事故 原因 人员伤亡 情况 未知
电梯,广东省 深圳市 老人 被困 电梯 分钟 救出 老人 情绪 过激 动手 维修 员 遭 反击 老人 头部 受伤 罚款 元 保安 刑拘
电梯,河北省 沧州市 小区业主 电梯 行至 楼 电梯 突然 停止 运行 两人 被困 电梯 电梯 维修 人员 到场 成功 被困 人员 救出
压力容器,号 四川省 攀枝花市 钛 冶炼厂 女职工 发现 氧气 液化器 发生 泄漏 拍照 上报 时 手机 闪光 造成 爆炸 职工 身亡
电梯,四川省 眉山市 工人 操作 货梯 时脚 升降 货梯 卡住 救援 人员 努力 于点 分 成功 解救 出 被困 人员 观察 了解 被困 人员 左脚 大腿 以下 夹 粉碎 送往 医院
电梯,内蒙古 包头市 鹿港 小镇 小区 业主 乘坐 电梯 运行 至楼 时 突然 发出 异响 向下 发生 坠落 分钟 之后 维修 人员 赶到 被困 人员 安全 救出 事后 物业 困人 停电 导致
电梯,滨州市 滨城区 渤海 国际 电梯 停电 停止 运行 有人 被困 电梯 最终 被困 人员 安全 救出 反映 一个月 电梯 停电 正常 运行 次数 有四到 五次
客运索道,四川省阿坝藏族羌族自治州 茂县 滑雪场 运行 缆车 突然 停电 多名 游客 被困 缆车 上长 达个 小时 造成 人员伤亡
压力容器,中午 广东省 佛山市 三水区 西南 石湖 州 立交桥 底 两辆 油罐车 发生 相撞 一车 中 丙烯酸 丁酯 发生 泄漏 三个 小时 处置 消防员 协助 现场 技术人员 成功 完成 事故 罐车 危险 化学品 倒 罐 作业 险情 排除
压力容器,河北省 沧州市 一辆 重型 罐式 半挂车 一半 挂 货车 追尾 相撞 起火 事故 造成 死亡 受伤
电梯,环球网 安徽省 合肥市 政务 区习 友路 大型 购物中心 四楼 至五楼 扶梯 突发 翻卷 事件 发生 时 刚刚 男性 顾客 搭乘 扶梯 造成 伤害 目前 出现 故障 扶梯 恢复
电梯,环球网 近日 上海市 闵行区 陈行 公路 商场 内三楼 四楼 位置 自动扶梯 台阶 疑因 挤压 出现 严重 变形 扭曲 故障 未 造成 人员伤亡
压力容器,河南省 安阳市 滑县 四间房 乡 一辆 载有 吨 汽油 槽罐车 发生 侧翻 导致 罐体 中部 阀门 损坏 罐内 汽油 发生 泄漏 倒灌 完毕 消防 救援 人员 现场 进行 清洗 事故现场 处置 完毕 事故 未 造成 人员伤亡
压力容器,日点 分 河南省 安阳市 汤阴县 文昌 路 北段 汽修 店门口 一辆 装有 罐 液化气 瓶 货车 着火 救援 过程 中 车上 液化气 瓶 发生爆炸 喷射出 大量 气体 分钟 紧张 扑救 明火 完全 扑灭 险情 得以 排除
压力容器,河北省 石家庄 晋州市 殡仪馆 锅炉 发生 火情 目击者 火葬场 锅炉 疑似 发生爆炸 晋州 民政局 工作人员 火情 系 殡仪馆 烧尸 炉 油罐 打火 回火 引起 造成 人员伤亡
锅炉,广西 贺州市 八步区 信 镇 桂航 钢厂 车间 检修 过程 中 导致 煤气 发生 炉 发生爆炸 初步 核实 现场 未 发现 人员伤亡 具体 事故 原因 正在 调查 中
压力容器,安徽省 阜阳市 颍 东区 枣庄 镇 居民 家中 煤气罐 发生 泄漏 爆炸 民警 了解 事故 煤气罐 阀门 松动 胶管 损坏 导致 泄漏 遇到 明火 时 发生爆炸 未 造成 人员伤亡
电梯,江苏省 南京市 玄武区 岁 男孩 完 补习班 失踪 民警 搜寻 过程 中 发现 补习班 电梯 发生 故障 检查 男孩 被困 电梯 里 男孩 成功 救出
压力容器,青海省 西宁市 南 绕城 高速 泉沟 大桥 附近 一辆 未 充装 液化 石油气 液化 石油气 槽车 发生 交通事故 导致 车辆 提供 动力 天然气 燃料 储罐 泄漏 未 造成 人员伤亡
电梯,广东省 深圳市 南山区 新华 大厦 突然 停电 导致 三人 被困 电梯 最终 物业 启动 应急 发电机 重新 电梯 接上 电三人 得以 脱身
起重机械,新浪 微博 江苏省 宿迁市 宿豫区 京东 智慧 城再 建工 地一 塔吊 电箱 起火 目前 火势 扑灭 造成 人员伤亡
电梯,日点 分 江西省 上饶市 万达 晶座 万达 华府 地方 突然 停电 多名 群众 被困 电梯 万达 华府 居民 反映 刚 楼上 电梯 下坠 地下室 物业 电话 联系 不上
电梯,福建省 泉州 晋江市 陈 埭 镇江 头 村民 生 医院 后面 有名 人员 乘坐 钢架 铁皮 搭建 货梯 时货梯 刚 运行 一会 突然 急速 下坠 卡 楼 人员 被困 被困 人员 身上 手臂 明显 擦伤 事故 具体 原因 未知
电梯,许 重庆市 涪陵区 滨江路 欢乐 迪 观光 电梯 出现 故障 停 二楼 之间 致使 受困 调查 发现 电梯 困人 酒后 人员 踹 门 所致
电梯,日点 半左右 济南市 历城区 围子 山路 附近 小区 电梯 降到 一楼 时 突然 卡婷 导致 两位 业主 被困 电梯 多分钟 期间 被困 人员 电梯 求助 按钮 始终 回应 物业 人员 回应 故障 电梯 电路板 损坏
起重机械,早上 广东省 汕尾市 海丰县 红草 梧围 路段 一辆 大型 吊车 疑 操作失误 发生 侧 倾 具体 事故 原因 人员伤亡 情况 未知
电梯,新浪 微博 陕西省 西安市 浐 灞 生态区 酒 十路 凯森福 景美 小区 单元 电梯 发生 故障 导致 人员 被困 电梯 救援 电话 均 停机 经微 信群 业主 联系 物业 方 到场 被困 人员 救出
起重机械,四川省 巴中市 南江县 汽配城 一辆 吊车 施工 时 突然 发生 侧翻 正在 施工 作业 工人 被困 吊车 侧翻 造成 驾驶室 变形 致使 被困 司机 双腿 卡 现场 群众 消防员 合力 被困 司机 救下 送 医院 进行 救助
电梯,新疆 博州 人民 医院 内一 电梯 突然 出现 故障 致使 被困 急诊病人 消防员 电梯 维修 人员 协助 被困 人员 救出
电梯,日点 分 福建省 泉州市 惠安县 东桥 镇 新桥 商务酒店 电梯 发生 故障 人员 被困 消防员 利用 三角 电梯 钥匙 电梯 外 门 打开 约 分钟 迅速 处置 成功 解救 出 被困 男子
电梯,日点 云南省 昆明市 盘龙区 江东 花城 小区 电梯 按键 完全 失灵 电梯 无法 正常 运行 导致 人员 被困 半个 小时
电梯,新浪 微博 近日 江苏省 徐州市 小区 三口 被困 电梯 里 民警 到达 现场 立即 电梯 维保 人员 合力 救出 被困 群众
场（厂）内专用机动车辆,陕西省 汉中市 城固县 丰泰 纺织 有限责任 公司 女工 叶某 不幸 厂里 正在 作业 叉车 撞 后经 抢救无效 身亡 事故 原因 安监 部门 介入 调查
电梯,云南省 昭通市 昭阳区 机甲 乐园 电梯 出现 故障 导致 一岁 小孩 被困 电梯 里 消防人员 赶到 使用 工具 电梯 强行 打开 小孩 安全 救出
电梯,江西省 宜春 丰城市 新城区 小区 电梯 故障 导致 被困 电梯 消防员 赶到 现场 成功 被困 人员 安全 救出
压力容器,日点 江苏省 徐州市 东阁 农贸市场 液化气罐 发生爆炸 具体 事故 原因 人员伤亡 情况 未知
